,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
119,"At The Organ, Volume 3",Jimmy Smith,Blue Note,US,1956,Jazz,7,VG,VG,99.6,112,895,770,30.00
120,Canciones Mexicanas Vol. 1,Various,Columbia,Mexico,,Latin,12,VG,VG+,100.0,5,28,2,24.99
121,Sunshine Games,The Music Explosion,Laurie Records,US,1967,Rock,2,NM or M-,,99.9,105,431,308,5.00
122,Tough Guys: St Gallen Festival Switzerland 1998 FM Broadcast,Beastie Boys,Mind Control (5),Europe,13 May 2023,"Hip Hop, Rock",13,M,M,83.3,13,7,7,22.30
123,A Tribe Called Quest EP,A Tribe Called Quest,Jive,Europe,1994,Hip Hop,4,M,VG+,100.0,22,936,558,31.95
124,Jack Elliott Sings The Songs Of Woody Guthrie,Jack Elliott*,Prestige Folklore,US,Jan 1964,"Folk, World, & Country",14,VG,VG,100.0,32,253,135,6.00
125,Kill For Beer,Hell Bullet,Terranis Productions,Hungary,2010,Rock,4,M,M,100.0,8,37,6,12.00
126,Catch Me,Pockets,ARC (3),US,1979,Funk / Soul,2,NM or M-,,100.0,572,3730,3324,6.00
127,"Scottish Fantasy, Op. 46 / Violin Concerto No. 2 In D Minor, Op. 44","Bruch*, 

Itzhak Perlman, 

New Philharmonia Orchestra, 

Jesús López-Cobos",Angel Records,US,1982,Classical,2,VG+,VG+,99.5,77,318,47,8.99
128,Brazilian Rare Groove (Rare Funky Songs From Brazil),Various,Wagram Music,France,2022,"Jazz, Latin, Funk / Soul",23,M,M,100.0,27,424,346,36.00
129,Hay Una Montaña,Donovan,CBS,Argentina,1967,Rock,2,VG+,,100.0,21,105,12,11.80
130,Crimson,Alkaline Trio,Vagrant Records,US,09 Jun 2023,Rock,13,M,NM or M-,100.0,3064,126597,209476,38.00
131,Wannabe,Spice Girls,Virgin,US,1996,Pop,2,VG+,,100.0,449,6154,4291,15.00
132,Refugee,Samson (3),Communiqué Records,UK,1990,Rock,11,NM or M-,VG+,100.0,207,1772,634,20.00
133,Kool Whip,Ava Cadell,"Tuxedo Music, Ltd.",,1995,Electronic,2,VG+,,99.8,54,259,247,10.00
134,French Rare Groove (Rare Funky Songs From France),Various,Wagram Music,France,01 Jul 2022,"Funk / Soul, Folk, World, & Country, Stage & Screen",23,M,M,100.0,16,360,144,36.00
135,Gonna Get Your Love,Carolyn Harding,Emergency Records,US,1985,Electronic,2,NM or M-,,100.0,206,848,505,7.00
136,A Fool Such As I,Bob Dylan,CBS,Germany,11 Jan 1974,"Rock, Pop, Folk, World, & Country",2,NM or M-,VG+,100.0,219,836,315,23.00
137,Half And Half,Everyday People (11),Abnak Records,,1971,Funk / Soul,2,NM or M-,,99.9,229,750,248,5.00
138,Shamballa (Duets With Thurston Moore And Elliott Sharp),"William Hooker, 

Thurston Moore And 

Elliott Sharp",ORG Music,US,22 Apr 2023,"Jazz, Rock",6,M,NM or M-,100.0,103,298,104,36.99
139,Phases And Stages,Willie Nelson,Atlantic,US,01 Jan 1974,"Folk, World, & Country",17,VG,VG,100.0,93,5140,3150,20.00
140,Things Have Got To Change: Live At The Totem Volume 1,Archie Shepp Quartet,Marge,France,1979,Jazz,4,NM or M-,VG,100.0,16,129,87,19.95
141,Light Years,Pearl Jam,Epic,UK,10 Jul 2000,Rock,2,NM or M-,NM or M-,99.9,,,,29.99
142,Mockingbird,"Carly Simon & 

James Taylor (2)",Elektra,US,1974,Rock,2,VG,,100.0,,,,2.69
143,Doris Day's Greatest Hits,Doris Day,Columbia,US,1958,Pop,12,VG,G+,Item Ships From:,653,5155,612,1.00
144,Existential Reckoning,Puscifer,BMG,US,11 Dec 2020,Electronic,12,M,M,99.8,247,5856,1394,38.99
145,Once In A Lifetime,Talking Heads,Sire,US,Feb 1981,"Electronic, Rock, Funk / Soul",2,NM or M-,,99.9,170,5479,5508,5.00
146,Lives In The Balance,Jackson Browne,Asylum Records,US,1986,Rock,8,M,M,97.6,1196,12064,701,9.99
147,Mafia,Black Label Society,"Entertainment One U.S., LP",US,03 Dec 2021,Rock,15,M,M,99.0,43,1143,1622,39.99
148,Heart Of Glass,Blondie,Numero Group,USA & Europe,26 Oct 2018,Electronic,6,M,M,99.0,1635,30184,21046,25.99
149,She's A Wiggler,Fenton Robinson,Seventy Seven Records,US,1973,"Funk / Soul, Blues",2,VG,,100.0,13,19,19,5.35
150,1967-1970,The Beatles,Capitol Records,US,21 Aug 1978,Rock,28,VG,VG,100.0,3950,171116,54297,35.00
151,Live in Chicago 1990,Jesus Jones,Demon Records,Europe,22 Apr 2023,"Electronic, Rock",18,M,NM or M-,100.0,63,178,15,44.99
152,Twitch Volume 14,Various,Twitch Recordings,US,1994,Electronic,7,G+,VG+,99.9,6,67,135,10.00
153,Rock My Soul,The Elvin Bishop Band,Epic,US,,Blues,11,VG+,G,100.0,105,1489,110,3.00
154,Brazil Classics 4: The Best Of Tom Zé - Massive Hits,Tom Zé,Luaka Bop,US,2023,"Rock, Latin, Folk, World, & Country",15,M,M,99.9,10,22,4,28.98
155,Nancy & Lee,Nancy & Lee*,Reprise Records,US,1968,"Rock, Pop",11,NM or M-,VG+,100.0,166,3044,1003,49.99
156,Cinderella,"Peter Pan Orchestra And Chorus, 

Jack Arthur, 

Toby Deane",Peter Pan Records,US,1960,Children's,5,G+,G,100.0,,,,25.00
157,Find A-Way,Fenton Robinson,PM Records (4),US,1974,"Funk / Soul, Blues",2,VG,,100.0,,,,3.95
158,"Musica Italica: Laudario Di Cortona, Codex 91 Of The Etruscan Academy Of Cortona (13th Century)",Quartetto Polifonico Italiano,Musical Heritage Society,US,1968,Classical,8,NM or M-,VG,98.0,4,8,2,5.49
159,Saga Of Sage: Quadrilogy Vinyl Boxset,Navy Blue (5),Freedom Sounds (3),Central America,20 Dec 2022,Hip Hop,65,NM or M-,NM or M-,100.0,2,21,131,"2,000.00"
160,Heaven Only Knows / 13ヶ月,CHEMISTRY (5),SAR (3),Japan,2018,"Hip Hop, Pop",4,VG+,VG+,100.0,3,2,3,32.25
161,Harder.....Faster,April Wine,Capitol Records,US,1979,Rock,8,NM or M-,VG+,100.0,415,9709,1395,14.99
162,Red White & Blues Image,Blues Image,ATCO Records,US,1970,"Rock, Blues",9,VG+,VG+,100.0,134,3728,486,14.99
163,Billy Joe Thomas,Billy Joe Thomas*,Scepter Records,US,1972,"Rock, Pop",12,VG,NM or M-,100.0,291,1294,159,0.99
164,Down Two Then Left,Boz Scaggs,Columbia,US,1977,Rock,11,VG+,VG+,100.0,1416,11709,828,2.99
165,Slippery When Wet,Bon Jovi,Mercury,US,1986,Rock,10,NM or M-,VG+,100.0,1996,80886,29929,39.99
166,"Walking Down Your Street (12"" Extended Dance Mixes)",Bangles,Columbia,US,1987,Rock,3,NM or M-,NM or M-,100.0,27,397,52,4.99
167,Free Like We Want 2 B,Ziggy Marley And The Melody Makers,Elektra,US,1995,Electronic,4,NM or M-,NM or M-,100.0,132,602,121,2.99
168,Every Good Boy Deserves Favour,The Moody Blues,Threshold (5),US,1971,"Rock, Pop",9,VG,VG,100.0,2296,29721,6031,1.99
169,Endless Summer,The Beach Boys,Capitol Records,US,1974,Rock,20,NM or M-,NM or M-,100.0,1218,53784,4672,39.99
170,Beautiful Feelings,Rick Springfield,Mercury,US,1984,Rock,10,NM or M-,VG+,100.0,181,1162,193,5.99
171,Listen!,Gary Lewis,Liberty,US,Sep 1967,Rock,12,NM or M-,VG+,100.0,97,709,267,9.99
172,Donovan's Greatest Hits,Donovan,Epic,US,1969,Rock,11,VG,VG+,100.0,1293,29113,4105,4.99
173,Masterpiece,The Temptations,Gordy,US,21 Feb 1973,Funk / Soul,6,VG,VG+,100.0,,,,3.99
174,The Last Summer (Live),The Siegel-Schwall Band,Wooden Nickel Records,US,22 Nov 1974,Blues,8,NM or M-,NM or M-,100.0,106,679,40,9.99
175,20 Golden Greats,"Buddy Holly / 

The Crickets (2)",MCA Records,US,1980,Rock,20,NM or M-,NM or M-,100.0,876,21421,1980,9.99
176,Animalization,The Animals,MGM Records,US,1966,Rock,12,VG,VG,100.0,296,6767,1520,9.99
177,Broken Record,Molly Alphabet,Get Hip Folk Series,US,2021,"Folk, World, & Country",10,NM or M-,NM or M-,100.0,62,999,166,19.50
178,I Reserve The Right!,Stillwater (2),Capricorn Records,US,1978,Rock,8,NM or M-,VG+,100.0,304,1545,234,6.99
179,Feel The Heat,Henry Paul Band,Atlantic,US,1980,Rock,9,VG+,VG,100.0,282,1723,458,1.99
180,Smash Hits,Jimi Hendrix Experience*,Reprise Records,US,1970,Rock,12,VG+,VG+,100.0,2447,61168,10261,24.99
181,Playin' To Win,Outlaws,Arista,US,1978,Rock,9,VG+,VG,100.0,151,1593,43,1.99
