,Vynil,Artist,Label,Country,Released Year,Genre,Tracks Num,Media Condition,Sleeve Condition,Seller Rating,For Sale,Have,Want,Price
9012,Band On The Run,Paul McCartney And Wings*,Apple Records,UK,30 Nov 1973,Rock,9,VG+,VG+,100.0,2342,95461,49525,49.00
9013,Let's Dance,David Bowie,EMI America,Europe,14 Apr 1983,"Rock, Funk / Soul, Pop",8,VG+,VG+,100.0,2272,127110,64162,24.99
9014,Born In The U.S.A.,Bruce Springsteen,CBS,Europe,1985,Rock,12,VG+,VG+,100.0,3904,176085,66900,14.00
9015,Bad Company,Bad Co*,Island Records,UK,1974,Rock,8,VG+,VG+,100.0,1318,49945,13291,39.00
9016,Toto IV,Toto,CBS,Europe,1982,"Rock, Pop",10,NM or M-,VG+,100.0,1777,75497,37670,45.00
9017,Tapestry,Carole King,Ode Records (2),Scandinavia,1971,Rock,12,VG+,NM or M-,100.0,3216,111342,81755,25.00
9018,Night Moves,Bob Seger & The Silver Bullet Band*,Capitol Records,US,1976,Rock,9,NM or M-,VG+,100.0,943,44831,7801,34.00
9019,The Other Side Of The Mirror,Stevie Nicks,Modern Records,US,1989,Rock,12,VG+,VG+,100.0,677,10371,2200,17.00
9020,Exile On Main St.,The Rolling Stones,Rolling Stones Records,US,1972,Rock,18,VG+,VG+,100.0,2897,104749,120958,199.00
9021,The Soundtrack From The Film The Song Remains The Same,Led Zeppelin,Swan Song,US,1976,"Rock, Stage & Screen",9,VG+,VG+,100.0,2223,76444,31828,99.00
9022,Nightingales & Bombers,Manfred Mann's Earth Band,Bronze,UK,1975,Rock,8,VG+,VG+,100.0,645,12948,4214,48.30
9023,ABBA,ABBA,Polar,Sweden,21 Apr 1975,"Rock, Pop",11,VG,VG,100.0,,,,14.00
9024,Acid Queen,Tina Turner,United Artists Records,US,1975,"Rock, Funk / Soul",9,NM or M-,VG+,100.0,226,4883,3590,45.00
9025,American Gigolo (Original Soundtrack Recording),Giorgio Moroder,Polydor,Scandinavia,1980,"Electronic, Pop, Stage & Screen",8,NM or M-,VG+,100.0,671,8880,4280,7.14
9026,Point Of Entry,Judas Priest,CBS,Europe,1981,Rock,10,NM or M-,VG+,100.0,744,29819,9285,47.00
9027,Family Style,The Vaughan Brothers,Epic,Europe,1990,"Rock, Blues",10,NM or M-,VG+,100.0,747,9150,1079,56.99
9028,California Girls,David Lee Roth,Warner Bros. Records,Germany,1985,Rock,2,VG+,VG+,100.0,467,3259,564,8.95
9029,First Album,ZZ Top,Warner Bros. Records,Europe,,"Rock, Blues",10,M,M,100.0,416,16967,10020,45.00
9030,Fireball,Deep Purple,Harvest,Europe,1984,Rock,7,VG+,VG+,100.0,2256,52967,34267,24.99
9031,"The Early Cream Of Eric Clapton, Jack Bruce & Ginger Baker","Eric Clapton / 

Jack Bruce / 

Ginger Baker",Springboard,US,1975,"Jazz, Rock, Blues",6,VG+,VG+,100.0,100,1796,121,17.00
9032,Best Of The Doobies,The Doobie Brothers,Warner Bros. Records Inc.,France,,Rock,11,VG+,VG+,100.0,1628,50951,5396,17.00
9033,Coloured Rain,Traffic,Island Records,Sweden,1967,Rock,10,VG+,VG+,100.0,,,,75.58
9034,Slayed?,Slade,Polydor,Scandinavia,1972,Rock,11,VG+,VG+,100.0,977,18744,6541,24.99
9035,Steg För Steg,Carola (3),Mariann,Sweden,12 Apr 1984,"Electronic, Pop",20,VG+,VG+,100.0,78,1080,81,8.99
9036,A Fifth Of Beethoven,The Walter Murphy Band*,Private Stock,US,1976,"Electronic, Jazz, Funk / Soul",10,VG+,VG+,100.0,561,4558,1623,5.75
9037,Bob Dylan's Greatest Hits,Bob Dylan,CBS,Netherlands,1967,"Rock, Blues, Folk, World, & Country",12,VG+,VG+,100.0,2181,58082,11269,25.00
9038,Long Cold Winter,Cinderella (3),Mercury,Europe,1988,Rock,10,VG+,VG,100.0,582,20574,6028,34.00
9039,Idol Songs - 11 Of The Best,Billy Idol,Chrysalis,Scandinavia,1988,"Electronic, Rock",11,VG+,VG+,100.0,726,15028,3072,34.00
9040,Music For The Jilted Generation,The Prodigy,XL Recordings,UK,2008,Electronic,14,M,M,100.0,897,34010,39554,68.99
9041,Aladdin Sane,David Bowie,RCA International,UK & Europe,1985,Rock,10,VG+,M,100.0,2275,96700,99591,74.00
9042,Naked,Talking Heads,EMI,Europe,1988,"Rock, Latin, Funk / Soul, Folk, World, & Country",10,VG+,VG+,100.0,1032,27451,9808,17.00
9043,Perfect Strangers,Deep Purple,Polydor,Netherlands,1984,Rock,8,NM or M-,VG+,100.0,1303,46149,10705,45.00
9044,801 Live,801,Island Records,UK,16 Nov 1976,Rock,10,M,VG+,100.0,475,8735,4063,47.00
9045,Dream Runner,Phenomena II*,Arista,Europe,1987,Rock,10,NM or M-,VG+,100.0,264,4316,748,37.00
9046,Party Mix!,The B-52's,Warner Bros. Records,US,Jul 1981,"Electronic, Rock",6,VG+,M,100.0,360,11181,4179,34.35
9047,Rocket Cottage,Steeleye Span,Chrysalis,US,1976,"Rock, Folk, World, & Country",9,VG+,VG+,100.0,443,3248,490,7.00
9048,Ammonia Avenue,The Alan Parsons Project,Arista,Portugal,1984,"Electronic, Rock",9,NM or M-,VG+,100.0,1371,29744,7441,14.00
9049,Listen Without Prejudice Vol. 1,George Michael,Epic,Europe,1990,"Rock, Funk / Soul",10,NM or M-,NM or M-,100.0,2020,33779,16295,68.99
9050,(What's The Story) Morning Glory?,Oasis (2),Big Brother,Europe,02 Oct 2020,Rock,13,M,M,100.0,2028,95189,66346,77.00
9051,Do It Yourself,Ian Dury & The Blockheads*,Stiff Records,UK,18 May 1979,"Electronic, Rock",10,VG+,VG+,100.0,,,,17.86
9052,Black Magic Night,Osibisa,Bronze,UK,1977,Funk / Soul,12,M,VG+,100.0,278,1595,695,48.99
9053,Mother Factor,Mother's Finest,Epic,Europe,1978,Rock,9,NM or M-,VG,100.0,175,2530,613,12.84
9054,Time Passages,Al Stewart,RCA Victor,Philippines,1978,Rock,9,NM or M-,VG+,100.0,,,,14.00
9055,Janis Joplin's Greatest Hits,Janis Joplin,CBS,Europe,,"Rock, Funk / Soul",10,M,VG+,100.0,2349,55095,14525,41.31
9056,Speak & Spell,Depeche Mode,Mute,Scandinavia,1981,Electronic,11,VG+,VG+,100.0,310,23743,17307,47.00
9057,Tracy Chapman,Tracy Chapman,Elektra,Europe,1988,Rock,11,NM or M-,NM or M-,100.0,2317,83412,42937,77.00
9058,Troubadour,J.J. Cale,Shelter Records,US,1976,"Rock, Blues",12,VG+,VG+,100.0,1385,34293,11703,26.34
9059,The First Album,Madonna,Sire,Europe,Sep 1985,"Electronic, Pop",8,M,NM or M-,100.0,155,6624,465,43.51
9060,11-17-70,Elton John,MCA Records,US,1977,"Rock, Pop",9,VG+,NM or M-,100.0,48,3454,133,32.55
9061,Tyranny And Mutation,The Blue Öyster Cult*,Columbia,US,1973,Rock,10,VG+,VG+,100.0,493,17375,7986,28.14
9062,Rio,Duran Duran,EMI,Europe,1982,"Electronic, Rock, Pop",9,VG+,VG+,100.0,866,68519,39962,45.00
9063,Musik Aus Zeit Und Raum,Jean-Michel Jarre,Polydor,Germany,1983,Electronic,13,NM or M-,VG+,100.0,341,6680,712,18.48
9064,The Birth Of A Legend,Bob Marley & The Wailers,Calla Records,US,1980,"Reggae, Blues",20,VG+,VG+,100.0,436,6864,1021,34.00
9065,Synchronicity,The Police,A&M Records,Germany,1983,"Rock, Pop",10,VG+,VG+,100.0,2645,124371,74151,24.99
9066,Sweet Revenge,Amanda Lear,Ariola,Germany,1978,"Electronic, Pop",9,NM or M-,VG+,100.0,312,10234,3274,19.18
9067,The Collection,"Earth, Wind & Fire",K-Tel,UK,1986,Funk / Soul,24,NM or M-,NM or M-,100.0,,,,37.00
9068,Songs From The Big Chair,Tears For Fears,Mercury,Europe,1985,"Electronic, Pop",9,VG+,VG+,100.0,1304,97481,66325,47.00
9069,Outlandos D'Amour,The Police,A&M Records,Europe,,Rock,10,NM or M-,VG+,100.0,2023,96807,57249,30.67
9070,The Final Countdown,Europe (2),Epic,UK,1986,Rock,3,NM or M-,VG+,100.0,1568,47609,17976,48.99
9071,The Best Of KC And The Sunshine Band,KC & The Sunshine Band,Jay Boy,UK,1976,Electronic,10,VG+,VG+,100.0,208,2015,791,10.00
9072,Purple Rain,Prince And The Revolution,Warner Bros. Records,US,25 Jun 1984,"Rock, Funk / Soul, Pop, Stage & Screen",9,NM or M-,NM or M-,100.0,3831,186094,129441,144.99
9073,Let's Dance,David Bowie,EMI America,Europe,14 Apr 1983,"Rock, Funk / Soul, Pop",8,VG+,VG+,100.0,2272,127110,64162,27.00
9074,Whitesnake,Whitesnake,Geffen Records,US,1987,Rock,9,M,M,100.0,,,,127.00
9075,You Can Dance,Madonna,Sire,UK & Europe,Nov 1987,Electronic,7,NM or M-,VG+,100.0,1675,33497,14005,19.59
9076,Chess,"Benny Andersson, 

Tim Rice, 

Björn Ulvaeus",Polar,Scandinavia,1984,"Pop, Stage & Screen",18,VG+,VG+,100.0,,,,11.47
9077,Black Sabbath Vol 4,Black Sabbath,Sanctuary,Europe,2015,Rock,20,M,M,100.0,1976,92366,131491,56.99
9078,Boonoonoonoos,Boney M.,Ariola,Scandinavia,1981,Electronic,14,M,VG+,100.0,716,6312,3790,45.00
9079,Malice In Wonderland,Paice Ashton Lord*,Polydor,Scandinavia,1977,"Rock, Funk / Soul",9,NM or M-,VG+,100.0,577,9339,2053,45.00
9080,Stands For Decibels,The dB's,Albion Records,UK,15 Jan 1981,Rock,11,M,M,100.0,71,3148,2970,77.00
9081,Hundreds & Thousands,Bronski Beat,Forbidden Fruit,UK,1985,Electronic,6,VG+,VG+,100.0,,,,25.00
9082,"Clapton, Beck & Page","Clapton*, 

Beck* & 

Page*",Emidisc (2),Sweden,,"Rock, Blues",11,M,VG,100.0,34,992,64,56.99
9083,Stranded,Roxy Music,Polydor,UK,1977,Rock,8,VG+,VG+,100.0,1079,26433,14575,28.99
9084,Trilogy,Yngwie J. Malmsteen*,Polydor,Europe,1986,Rock,9,NM or M-,VG+,100.0,2349,43464,18923,46.99
9085,The Right Place,Gary Wright,Warner Bros. Records,US,1981,"Rock, Pop",10,VG+,M,100.0,244,12946,11507,8.99
9086,20 Original Rock & Roll Classics,Various,Pickwick Records,UK,1974,Rock,20,NM or M-,NM or M-,100.0,84,523,8,74.37
9087,"Girls, Girls, Girls",Mötley Crüe,Elektra,US,1987,Rock,10,VG+,VG+,100.0,889,34763,15163,77.00
9088,Men And Women,Simply Red,Elektra,UK & Europe,1987,"Rock, Pop",10,M,NM or M-,100.0,1922,22663,2585,27.00
9089,Out Of Order,Rod Stewart,Warner Bros. Records,Europe,1988,Rock,10,M,M,100.0,,,,48.99
9090,Scary Monsters,David Bowie,RCA Victor,US,12 Sep 1980,Rock,10,VG+,VG+,100.0,1456,73929,40369,45.00
9091,Love For Sale,Boney M.,Hansa International,Germany,02 May 1977,"Funk / Soul, Pop",10,VG+,VG,100.0,1311,21215,7205,17.10
9092,The Autobiography Of Supertramp,Supertramp,A&M Records,Germany,1986,Rock,11,VG+,M,100.0,571,11808,1799,36.11
9093,Coast To Coast Overture And Beginners,"Rod Stewart / 

Faces (3)",Mercury,US,1973,Rock,11,VG+,NM or M-,100.0,114,3101,104,37.00
9094,Tunnel Of Love,Bruce Springsteen,CBS,Europe,1987,"Rock, Pop",12,VG,VG+,100.0,2467,56369,8642,14.00
9095,Carnaval,Spyro Gyra,MCA Records,Europe,1984,Jazz,8,M,VG+,100.0,613,7271,2378,24.99
9096,Long Live Rock 'N' Roll,Rainbow,Polydor,Germany,,Rock,8,M,NM or M-,100.0,935,37381,18548,74.00
9097,Waterloo,"ABBA, 

Björn, Benny, Agnetha & Frida*",Polar,Sweden,04 Mar 1974,"Rock, Pop",12,VG,VG+,100.0,1015,21235,13779,17.00
9098,Nevermind,Nirvana,DGC,Europe,2017,Rock,12,M,M,100.0,3846,268965,403175,75.00
9099,New Light Through Old Windows (The Best Of Chris Rea),Chris Rea,WEA,Europe,1988,Rock,13,M,VG+,100.0,1011,13033,2052,34.28
9100,Never A Dull Moment,Rod Stewart,Mercury,US,1972,Rock,9,VG+,VG+,100.0,1373,24222,3220,7.50
9101,I Can't Stand Still,Don Henley,Asylum Records,US,13 Aug 1982,Rock,11,VG+,VG+,100.0,754,12758,1853,3.75
9102,Pampered Menial,Pavlov's Dog,Columbia,US,1975,Rock,9,VG+,VG+,100.0,622,10805,2838,12.49
9103,Purple Rain,Prince And The Revolution,Warner Bros. Records,US,23 Jun 2017,"Funk / Soul, Pop",9,M,M,100.0,3831,186094,129441,25.25
9104,Blue Hawaii,Elvis Presley,RCA Victor,US,1961,"Rock, Stage & Screen",14,VG+,VG,100.0,1719,24466,10677,14.49
9105,Pioneers,Siena Root,Cleopatra,US,07 Nov 2014,Rock,8,M,NM or M-,100.0,,,,19.49
9106,Freeze-Frame,The J. Geils Band,EMI America,US,1981,"Rock, Pop",9,VG+,VG,100.0,1702,34955,2500,2.75
9107,Hits,Gary Morris,Warner Bros. Records,US,1987,"Folk, World, & Country",12,VG+,VG+,100.0,,,,2.25
9108,On The Loose,Denise La Salle*,Westbound Records,Canada,1973,Funk / Soul,11,VG+,VG,100.0,,,,8.50
9109,Vol 3 Groovin' High,Charlie Parker,Saga Eros,UK,1966,Jazz,10,VG+,VG+,100.0,47,428,25,3.00
9110,Champagne Charlie,Leon Redbone,Warner Bros. Records,US,1978,"Jazz, Blues",10,VG+,VG,100.0,234,3004,219,4.50
9111,Live In New York City,John Lennon,Capitol Records,US,1986,Rock,11,VG+,VG+,100.0,607,11749,3843,11.50
9112,Point Of View,Cassandra Wilson,JMT,Germany,1986,Jazz,8,VG+,VG+,100.0,286,4285,3010,14.49
9113,Kickin Presents Hi Tide Groove (DJ's Choice 1969-1981),Various,Hi Records,US,26 Sep 2020,Funk / Soul,25,M,M,100.0,47,572,126,17.49
9114,Honky-Tonk Stardust Cowboy,Jonathan Edwards (2),ATCO Records,US,1972,Rock,13,VG,G+,100.0,114,1221,181,7.25
9115,The Myths And Legends Of King Arthur And The Knights Of The Round Table,Rick Wakeman,A&M Records,Canada,,Rock,7,NM or M-,NM or M-,100.0,1636,16917,3352,12.49
9116,Body Wishes,Rod Stewart,Warner Bros. Records,US,1983,"Rock, Pop",10,VG+,VG+,100.0,1441,14634,1582,2.25
9117,Through The Years - A Collection Of Rare Album Tracks & Single Sides,Jackie Wilson,Rhino Records (2),US,1987,Funk / Soul,14,VG+,VG+,100.0,29,107,10,6.00
9118,The Way It Feels,Maddie & Tae,Mercury Nashville,US,10 Apr 2020,"Folk, World, & Country",15,M,M,100.0,21,540,3895,20.25
9119,Vol. 5 / Bird And Diz,Charlie Parker,Saga Eros,UK,1968,Jazz,11,VG+,VG+,100.0,35,334,25,3.00
9120,Walk Through This World With Me,George Jones (2),Musicor Records,US,1967,"Folk, World, & Country",10,VG+,VG+,100.0,33,941,258,6.00
9121,Thankful,Natalie Cole,Capitol Records,US,Nov 1977,"Jazz, Funk / Soul",8,VG+,VG+,100.0,330,3086,1927,3.75
9122,Cannonball's Sharpshooters,"Julian ""Cannonball"" Adderley*",Mercury,US,May 1959,Jazz,7,VG,F,100.0,127,1198,717,8.49
9123,What's New Pussycat?,Tom Jones,Parrot,Canada,1966,Pop,12,VG+,VG,100.0,268,1549,295,16.49
9124,Jerry Riopelle,Jerry Riopelle,Capitol Records,US,1971,Rock,11,VG+,VG+,100.0,,,,11.50
9125,Welcome To My World,Dean Martin,Reprise Records,US,,Pop,10,VG,VG+,100.0,489,6159,878,2.00
9126,Happiness Is You,Johnny Cash,Columbia,US,1966,"Folk, World, & Country",11,G+,,100.0,143,2593,832,2.50
9127,Mother Lode,Loggins And Messina,Columbia,US,1974,Rock,10,VG,G,100.0,688,6061,410,4.50
9128,"Tell It All, Brother",Kenny Rogers & The First Edition,Reprise Records,US,1970,"Folk, World, & Country",10,NM or M-,NM or M-,100.0,210,1398,271,4.50
9129,Bird On The Air (1944-45),Charlie Parker,Sounds (2),US,,Jazz,11,VG+,VG+,100.0,18,102,8,4.49
9130,Have A Smile With Me,Ray Charles,ABC-Paramount,US,1964,Funk / Soul,10,VG,VG+,100.0,153,1694,394,4.50
9131,Ed Sullivan's Stereo Library Of The World's Great Music - Peter And The Wolf,Malcolm Saunders,Little & Ives Co.,,,"Classical, Stage & Screen",2,VG+,VG+,100.0,1,7,0,18.49
9132,Christmas,Kenny Rogers,Liberty,US,1981,"Folk, World, & Country",10,VG+,VG+,100.0,,,,2.00
9133,The Movin' And The Livin',Uncle Remus (6),Ribbon Rail,US,1978,"Folk, World, & Country",11,VG+,VG+,100.0,,,,9.25
9134,Solidaarisuus,Kapelle Vorwärts,Mad Butcher Records,Germany,2015,Rock,10,M,NM or M-,100.0,24,72,13,9.25
9135,Super Girls,Various,Lake Shore Music,US,1979,"Rock, Funk / Soul, Pop",30,VG,VG,100.0,44,1062,111,6.00
9136,Take A Sad Song...,Godfrey Daniel,Atlantic,US,1972,"Jazz, Pop",12,M,NM or M-,100.0,69,243,34,3.75
9137,Most Of All,B.J. Thomas,Scepter Records,US,Dec 1970,"Rock, Pop",10,M,VG+,100.0,261,897,214,3.49
9138,Lost Without Your Love,Bread,Elektra,US,28 Dec 1976,Rock,11,VG+,VG+,100.0,619,6125,493,2.50
9139,My Third Album,Johnny Rodriguez (4),Mercury,US,1974,"Folk, World, & Country",11,VG+,VG+,100.0,111,443,37,6.00
9140,Don't Cry Now,Linda Ronstadt,Asylum Records,US,1976,Rock,10,VG+,VG+,100.0,476,7615,1190,3.75
9141,King Swamp,King Swamp,Virgin,US,1989,Rock,10,VG+,VG+,100.0,250,1121,92,2.00
9142,Super Hits Country 1960's,Various,Gusto Records (2),US,1978,"Folk, World, & Country",10,VG+,VG+,100.0,10,32,3,9.00
9143,Peach Melba,Melba Moore,Buddah Records,US,10 Jun 1975,Funk / Soul,11,VG+,VG,100.0,75,516,397,3.75
9144,Live At The Sahara Tahoe,Isaac Hayes,Stax,Germany,1973,Funk / Soul,19,VG,VG,100.0,432,7090,1888,6.50
9145,This One's For You,Barry Manilow,Arista,US,1976,Pop,11,G+,VG,100.0,729,7260,436,2.50
9146,Aerosmith's Greatest Hits,Aerosmith,Columbia,Europe,21 Jun 2019,Rock,10,NM or M-,M,100.0,1412,40629,7242,24.25
9147,Raw Delta Blues: The Very Best Of The Delta Blues Master,Son House,Not Now Music,UK,2014,Blues,14,M,M,100.0,43,617,71,13.49
9148,Motion,KGB (7),MCA Records,US,1976,Rock,9,M,NM or M-,100.0,,,,2.25
9149,Highway 1,Highway (10),RSO,US,1979,"Rock, Pop",10,M,NM or M-,100.0,424,7030,3682,9.25
9150,I Nattens Lugn,Adolphson-Falk,Air (3),Sweden,Feb 1986,Electronic,8,VG+,VG+,100.0,61,1049,33,14.00
9151,"Reggae, Soul, And Rock 'n' Roll",Johnny Wakelin,Pye Records,UK,1976,Funk / Soul,11,NM or M-,VG+,100.0,205,786,256,8.00
9152,Love Is Here And Now You're Gone,Tami Lynn,Cotillion,US,1972,Funk / Soul,15,VG+,VG+,100.0,361,1555,247,37.00
9153,Original Soundtrack,S'Express,Rhythm King,Scandinavia,1989,Electronic,10,VG+,VG+,100.0,,,,24.99
9154,Danny Mirror,Danny Mirror,EMI,Scandinavia,1977,Pop,11,VG+,VG+,100.0,,,,7.00
9155,Hold Me,Laura Branigan,Atlantic,Europe,1985,"Electronic, Pop",10,VG+,VG+,100.0,945,8740,1969,8.00
9156,Introducing Mac & Katie Kissoon,Mac & Katie Kissoon*,Polydor,Norway,1971,Pop,11,NM or M-,VG+,100.0,18,81,14,11.83
9157,Night Songs,Cinderella (3),Mercury,Netherlands,1986,Rock,10,VG+,VG+,100.0,696,24073,6595,46.99
9158,The Game's Up,Sniff 'n' the Tears,Chiswick Records,Scandinavia,1980,Rock,9,VG+,VG+,100.0,536,3576,595,14.00
9159,...Keep Smiling,Laid Back,Medley Records,Scandinavia,1983,Electronic,8,VG+,VG+,100.0,391,5722,8406,24.99
9160,The Best Of,Judas Priest,Gull,Scandinavia,1978,Rock,8,VG+,VG+,100.0,,,,34.99
9161,Ummagumma,Pink Floyd,Harvest,Netherlands,,Rock,21,VG+,NM or M-,100.0,3574,101536,95424,48.99
9162,Flash And The Pan,Flash And The Pan*,Epic,Canada,May 1979,"Electronic, Rock, Funk / Soul",10,NM or M-,VG+,100.0,438,6478,4424,24.99
9163,Can't Buy A Thrill,Steely Dan,ABC Records,Germany,,"Jazz, Rock",10,M,M,100.0,1399,62258,92756,149.00
9164,Tango In The Night,Fleetwood Mac,Warner Bros. Records,UK & Europe,1987,"Rock, Pop",12,M,VG+,100.0,1639,74356,31796,77.00
9165,Hour Of The Wolf,Steppenwolf,Epic,Europe,1975,Rock,8,VG+,VG,100.0,90,879,890,8.71
9166,Plastic Letters,Blondie,Chrysalis,Japan,25 Dec 1977,Rock,12,M,M,100.0,651,27314,11211,127.00
9167,Greatest Hits,Leonard Cohen,CBS,Europe,1975,"Rock, Pop, Folk, World, & Country",12,VG,VG+,100.0,,,,14.00
9168,Don't Take My Coconuts,The Coconuts,EMI America,Europe,1983,"Electronic, Latin, Funk / Soul, Pop",9,M,NM or M-,100.0,288,1427,439,17.00
9169,Cocker,Joe Cocker,Capitol Records,Europe,1986,Rock,10,VG+,VG+,100.0,,,,14.00
9170,The Most Of Jeff Beck,Jeff Beck,Music For Pleasure,UK,1971,"Rock, Blues",7,VG+,VG+,100.0,69,952,94,17.00
9171,Before We Were So Rudely Interrupted,The Original Animals*,Barn Records Ltd,Germany,1977,Rock,10,NM or M-,VG+,100.0,522,5870,1152,25.00
9172,Dua Lipa,Dua Lipa,Warner Records,Europe,2019,"Electronic, Pop",12,M,M,100.0,498,14182,8420,144.99
9173,Rising Force,Yngwie J. Malmsteen*,Polydor,Netherlands,1984,Rock,8,NM or M-,VG+,100.0,614,15305,4087,34.00
9174,The Deer Hunter (Original Motion Picture Soundtrack),Various,Capitol Records,US,1979,"Classical, Brass & Military, Folk, World, & Country, Stage & Screen",10,NM or M-,VG+,100.0,186,2026,353,45.00
9175,The Beatles At The Hollywood Bowl,The Beatles,Parlophone,Sweden,1977,Rock,13,NM or M-,M,100.0,1308,30743,6810,47.00
9176,Kick,INXS,Mercury,Europe,1987,Rock,12,NM or M-,VG+,100.0,1710,72488,26801,45.00
9177,Stars Sing Lennon & McCartney,Various,Music For Pleasure,Netherlands,1970,"Rock, Pop",12,VG+,G,100.0,61,319,18,7.00
9178,The Album,ABBA,Polar,Sweden,12 Dec 1977,"Electronic, Rock, Pop, Stage & Screen",10,G+,VG+,100.0,,,,9.00
9179,41 Original Hits From The Sound Track Of American Graffiti,Various,MCA Records,Germany,,"Rock, Stage & Screen",41,NM or M-,NM or M-,100.0,902,24126,4603,45.00
9180,Catching The Sun,Spyro Gyra,MCA Records,Philippines,1980,Jazz,9,NM or M-,VG+,100.0,917,9087,1537,14.00
9181,Easy Rider (Songs As Performed In The Motion Picture),Various,Stateside,UK,1969,"Rock, Stage & Screen",10,VG+,VG+,100.0,142,2660,115,14.00
9182,Amigos,Santana,CBS,Europe,1976,Rock,7,VG+,VG+,100.0,1500,27307,6388,9.30
9183,Unbehagen,Nina Hagen Band,CBS,Europe,1979,Rock,9,VG+,VG+,100.0,837,15576,1871,17.00
9184,The Iceberg (Freedom Of Speech... Just Watch What You Say),Ice-T,Sire,UK & Europe,06 Oct 1989,Hip Hop,12,VG+,NM or M-,100.0,293,7322,2524,45.00
9185,Naked,Talking Heads,EMI,UK,1988,Rock,10,M,NM or M-,100.0,1032,27451,9808,47.00
9186,Straight Shooter,Bad Company (3),Island Records,UK,1975,Rock,8,VG+,VG,100.0,965,34685,5978,15.13
9187,Confrontation = Confrontación,Bob Marley & The Wailers,Tuff Gong,Mexico,1983,Reggae,10,NM or M-,M,100.0,4,358,118,27.00
9188,Love Over Gold,Dire Straits,Vertigo,Netherlands,1982,Rock,5,VG+,VG+,100.0,3009,110591,42569,24.99
9189,The Final Countdown,Europe (2),Epic,Europe,1986,Rock,10,VG+,VG+,100.0,1568,47609,17976,27.00
9190,Communiqué,Dire Straits,Vertigo,Scandinavia,1979,Rock,9,NM or M-,NM or M-,100.0,2673,93956,36671,45.00
9191,Out Of This World,Europe (2),Epic,Europe,1988,Rock,12,M,NM or M-,100.0,828,17662,3520,34.99
9192,The Philip Lynott Album,Philip Lynott*,Vertigo,Scandinavia,1982,"Electronic, Rock",11,NM or M-,NM or M-,100.0,228,4795,1879,34.00
9193,Time Pieces - The Best Of Eric Clapton,Eric Clapton,RSO,Scandinavia,1982,Rock,11,NM or M-,VG+,100.0,1711,27864,4335,22.99
9194,Live Is Life,Opus,Polydor,Germany,1984,"Rock, Pop",12,NM or M-,VG+,100.0,1194,12258,2734,22.99
9195,Blue And Gray,Poco (3),MCA Records,Scandinavia,1981,"Rock, Pop",10,NM or M-,VG+,100.0,405,2878,257,7.97
9196,Tale Spinnin',Weather Report,CBS,Europe,1975,"Jazz, Rock",6,VG+,VG,100.0,578,8574,2957,24.99
9197,Vulture Culture,The Alan Parsons Project,Arista,US,1985,"Electronic, Rock",8,M,NM or M-,100.0,1035,21062,4298,34.00
9198,Invisibile,Umberto Tozzi,CGD,Europe,1987,"Rock, Pop",9,VG+,VG+,100.0,213,677,99,8.90
9199,Joe Loss Plays Glenn Miller,Joe Loss & His Orchestra,Music For Pleasure,Sweden,1969,Jazz,12,NM or M-,VG+,100.0,409,2446,60,7.00
9200,Confrontation = Confrontación,Bob Marley & The Wailers,Tuff Gong,Mexico,1983,Reggae,10,NM or M-,M,100.0,4,358,118,27.00
9201,Love Over Gold,Dire Straits,Vertigo,Netherlands,1982,Rock,5,VG+,VG+,100.0,3009,110591,42569,24.99
9202,The Final Countdown,Europe (2),Epic,Europe,1986,Rock,10,VG+,VG+,100.0,1568,47609,17976,27.00
9203,Communiqué,Dire Straits,Vertigo,Scandinavia,1979,Rock,9,NM or M-,NM or M-,100.0,2673,93956,36671,45.00
9204,Out Of This World,Europe (2),Epic,Europe,1988,Rock,12,M,NM or M-,100.0,828,17662,3520,34.99
9205,The Philip Lynott Album,Philip Lynott*,Vertigo,Scandinavia,1982,"Electronic, Rock",11,NM or M-,NM or M-,100.0,228,4795,1879,34.00
9206,Time Pieces - The Best Of Eric Clapton,Eric Clapton,RSO,Scandinavia,1982,Rock,11,NM or M-,VG+,100.0,1711,27864,4335,22.99
9207,Live Is Life,Opus,Polydor,Germany,1984,"Rock, Pop",12,NM or M-,VG+,100.0,1194,12258,2734,22.99
9208,A Rock And Roll Alternative,Atlanta Rhythm Section,Polydor,Germany,1976,Rock,8,VG+,VG+,100.0,496,9381,1009,10.00
9209,Painkiller,Judas Priest,Columbia,"USA, Canada & Europe",01 Dec 2017,Rock,10,M,M,100.0,683,34834,17694,65.00
9210,Best Of Kool & The Gang,Kool & The Gang,De-Lite Records,Finland,1985,Funk / Soul,17,VG+,VG+,100.0,97,2529,553,45.00
9211,Connected,Stereo MC's,4th & Broadway,Europe,1992,Electronic,4,M,VG+,100.0,597,9631,4089,75.00
9212,Gaucho,Steely Dan,MCA Records,US,1980,"Jazz, Rock",7,VG+,VG+,100.0,1082,50454,27902,43.76
9213,Revolver,The Beatles,Parlophone,Sweden,,Rock,14,VG+,NM or M-,100.0,4738,225724,423377,27.00
9214,KC And The Sunshine Band,KC And The Sunshine Band*,RCA Victor,Germany,1975,Funk / Soul,9,VG,VG,100.0,543,18328,12580,8.00
9215,KC And The Sunshine Band,KC And The Sunshine Band*,RCA Victor,Germany,1975,Funk / Soul,9,NM or M-,VG+,100.0,543,18328,12580,34.00
